place_id,photo,street_view,logo,has_photo,has_street_view,has_logo,media_completeness_score,logo_status
ChIJ2badz7rJBZERxHaIC4ApV2Q,https://lh3.googleusercontent.com/p/AF1QipO8EfhBR77ExdCuhghvSVBmE2S4kE5_kQBiXpv8=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipO8EfhBR77ExdCuhghvSVBmE2S4kE5_kQBiXpv8=w1600-h1000-k-no,https://lh3.googleusercontent.com/-ulwQtc3Zn5E/AAAAAAAAAAI/AAAAAAAAAAA/cqY22k0TZXU/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJgTAHm9HHBZERqH8Sfg4j4WQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrn3zznXzY9f0UE6Eik7Cii_017Tw2Kv9qjmPtXT32u4Ne3N9OgcKVqwXPqyXpEM-YvX2Xa5TPtpA-WICM8z3jPc3_hoJvjsWlyW0_4ZKW9UUkPieXhFf0_JxKHtfAczd8cJ04=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrn3zznXzY9f0UE6Eik7Cii_017Tw2Kv9qjmPtXT32u4Ne3N9OgcKVqwXPqyXpEM-YvX2Xa5TPtpA-WICM8z3jPc3_hoJvjsWlyW0_4ZKW9UUkPieXhFf0_JxKHtfAczd8cJ04=w1600-h1000-k-no,https://lh4.googleusercontent.com/-8bH1Y4eigM0/AAAAAAAAAAI/AAAAAAAAAAA/B1v-EdUvM5g/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJe58qHQDPBZERcOlRkfXry8o,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJleickSfFBZERvxocs06mECI,https://lh3.googleusercontent.com/p/AF1QipPBm2VfQ6O9_rVa5sMmSWihJ_KPJOI4h1lmyGuy=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPBm2VfQ6O9_rVa5sMmSWihJ_KPJOI4h1lmyGuy=w1600-h1000-k-no,https://lh5.googleusercontent.com/-j9WehvO_7fA/AAAAAAAAAAI/AAAAAAAAAAA/9NqT_qSkoSM/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJtwb4dADJBZER1-b2zKidZzU,https://lh3.googleusercontent.com/p/AF1QipOdFtzCTAV3lERwSciHWEJHi3DRtDfXbiSamTaa=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOdFtzCTAV3lERwSciHWEJHi3DRtDfXbiSamTaa=w1600-h1000-k-no,https://lh5.googleusercontent.com/-ZbgrwGA4upA/AAAAAAAAAAI/AAAAAAAAAAA/o1CAiGlke5I/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJaR7YcY7vBZER3FZOVZx4bHg,NA,NA,https://lh4.googleusercontent.com/-WfWUwYvUEEE/AAAAAAAAAAI/AAAAAAAAAAA/ZXh7uptJmgY/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJEzX-loTLBZER0JUz0_GZeRM,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJr4hIAu_LBZERILPbEM-CM9w,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrR0ejp-fHjIiCa0slpW1qHkrAP5m9hpJ1aJaw3L8VuwGylCF8nQfaWQVIjwd58P8Rv8FNsYiizm2VooHyaY2h5JQdL-CmXD5U_kVlx5WDvlpvvefwb3i-ZOnqjGxmRUdV82Vg=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrR0ejp-fHjIiCa0slpW1qHkrAP5m9hpJ1aJaw3L8VuwGylCF8nQfaWQVIjwd58P8Rv8FNsYiizm2VooHyaY2h5JQdL-CmXD5U_kVlx5WDvlpvvefwb3i-ZOnqjGxmRUdV82Vg=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJD6btPMbHBZER9x_64LBItW0,https://lh3.googleusercontent.com/p/AF1QipMTm5jcz4knfj9rFA9dkwf-OewEchMg4T3O61AX=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMTm5jcz4knfj9rFA9dkwf-OewEchMg4T3O61AX=w1600-h1000-k-no,https://lh6.googleusercontent.com/-ADiqGC1e2mI/AAAAAAAAAAI/AAAAAAAAAAA/JoIBs41MnSo/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJQ31ia9PRBZERRfVjIYN9VuA,https://lh3.googleusercontent.com/p/AF1QipOod6w3MLkNt3t0qIjSRFzu3i3kYxck53W_P6l8=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOod6w3MLkNt3t0qIjSRFzu3i3kYxck53W_P6l8=w1600-h1000-k-no,https://lh3.googleusercontent.com/-m9DKo_7MZ-s/AAAAAAAAAAI/AAAAAAAAAAA/kS7SUet7uBE/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJH-p69sm3BZERtabzgMfhqW0,https://lh3.googleusercontent.com/p/AF1QipMEu_eXTT5t5MWgEb_oOTQkiKoSjX0U9PqbX1c2=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNq08zmYfXpoQWbB-PhP0SGp3a_U5vujHMkSNT2=w1600-h1000-k-no,https://lh6.googleusercontent.com/--_9FRkbdSeU/AAAAAAAAAAI/AAAAAAAAAAA/rVDFjq7vGCw/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJG9kQoXbJBZER3AlWHo88KO4,https://lh3.googleusercontent.com/p/AF1QipP1UFO1VS8XYhH4PsyYY0hnJNLgf3xBLaiiwk4R=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipP1UFO1VS8XYhH4PsyYY0hnJNLgf3xBLaiiwk4R=w1600-h1000-k-no,https://lh4.googleusercontent.com/-feY_mqgPhTk/AAAAAAAAAAI/AAAAAAAAAAA/GP3qSnyYrwo/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
