place_id,tag_type,tag_description,tag_value,source
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,Amenities,Toilet,TRUE,parsed
ChIJoX5d-zW3BZERvLanKo27QSY,Amenities,Toilet,TRUE,parsed
ChIJBwYcZrjFBZERCoxUbCbvnRw,Amenities,Toilet,TRUE,parsed
ChIJR5qRsOrIBZERjnI90IPBAfk,Amenities,Toilet,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Service options,On-site services,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Service options,Online classes,FALSE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Accessibility,Wheelchair-accessible car park,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Accessibility,Wheelchair-accessible seating,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Accessibility,Assistive hearing loop,FALSE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Accessibility,Wheelchair-accessible toilet,FALSE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Amenities,Gender-neutral toilets,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Amenities,Toilet,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Crowd,Transgender safe space,TRUE,parsed
ChIJeUrtvNnJBZERNyjbCLzob6k,Other,LGBTQ+ friendly,TRUE,parsed
ChIJY5uxEwDHBZERzW87SSNLl4A,Amenities,Toilet,TRUE,parsed
ChIJQ2RMgsTHBZER5qEcaRKPudY,Amenities,Toilet,TRUE,parsed
ChIJ2wEqSgLJBZER6Nr2SfsZm_E,Amenities,Toilet,TRUE,parsed
ChIJH2ACIMDPBZERfhs_s1bpIRM,Service options,On-site services,TRUE,parsed
ChIJH2ACIMDPBZERfhs_s1bpIRM,Service options,Online classes,FALSE,parsed
ChIJH2ACIMDPBZERfhs_s1bpIRM,Amenities,Toilet,TRUE,parsed
ChIJ65L-5m7FBZERFuWGrOis81s,Amenities,Toilet,TRUE,parsed
ChIJOfOF4ui9BZERNEHtLiFSW_U,Amenities,Toilet,TRUE,parsed
ChIJvXw3qH7JBZERLNp_Vfw8XJo,Amenities,Toilet,TRUE,parsed
ChIJza2soSGjBZERGi_K1jWpiCw,Amenities,Toilet,TRUE,parsed
ChIJ9QBFvzyfBZERfeRaigDBmh8,Service options,Online classes,TRUE,parsed
ChIJ433FgiDOBZER8YkaGFvLvBw,Amenities,Toilet,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Service options,On-site services,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Service options,Online classes,FALSE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Amenities,Toilet,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Atmosphere,Shower,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Planning,Appointment required,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Parking,Free of charge street parking,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Parking,Free parking lot,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Parking,On-site parking,TRUE,parsed
ChIJpbOPHQDPBZERgNhOqhBdNlI,Parking,Paid multi-storey car park,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,From the business,Identifies as women-owned,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Service options,On-site services,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Amenities,Toilet,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Crowd,LGBTQ+ friendly,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Children,Discounts for kids,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Children,Family discount,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Parking,Free of charge street parking,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Parking,Free parking lot,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Parking,Paid street parking,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Other,LGBTQ+ friendly,TRUE,parsed
ChIJkb7L-yPHBZERvMfhofqs9f0,Other,Identifies as women-owned,TRUE,parsed
ChIJ_49ZfwC5BZER25WIUu0zge8,Amenities,Toilet,TRUE,parsed
ChIJ_x2r75vJBZERgmBgN_FrDIM,Service options,On-site services,TRUE,parsed
ChIJ_x2r75vJBZERgmBgN_FrDIM,Accessibility,Wheelchair-accessible car park,TRUE,parsed
ChIJ13qNn8TJBZERWbv_je4pbBw,Amenities,Toilet,TRUE,parsed
ChIJ8R-GFhDJBZERhtpx6oScBN4,Accessibility,Wheelchair-accessible entrance,TRUE,parsed
ChIJ8R-GFhDJBZERhtpx6oScBN4,Amenities,Toilet,TRUE,parsed
ChIJ8R-GFhDJBZERhtpx6oScBN4,Children,Good for kids,TRUE,parsed
ChIJPaZRdMPHBZER5ztEW3DODhQ,Amenities,Toilet,TRUE,parsed
ChIJTQbQ2VbVBZERIvXW_Nrgoyw,Service options,Online classes,TRUE,parsed
ChIJTQbQ2VbVBZERIvXW_Nrgoyw,Service options,On-site services,TRUE,parsed
ChIJTQbQ2VbVBZERIvXW_Nrgoyw,Amenities,Gender-neutral toilets,TRUE,parsed
ChIJTQbQ2VbVBZERIvXW_Nrgoyw,Amenities,Toilet,TRUE,parsed
ChIJTQbQ2VbVBZERIvXW_Nrgoyw,Planning,Appointment required,TRUE,parsed
ChIJjY4SOaZ1BZERRHxcdzy-H4Y,Amenities,Toilet,TRUE,parsed
ChIJjY4SOaZ1BZERRHxcdzy-H4Y,Planning,Appointment required,TRUE,parsed
ChIJjY4SOaZ1BZERRHxcdzy-H4Y,Parking,Free parking lot,TRUE,parsed
ChIJBTqvMrvOBZERKOlujH1mxM8,Amenities,Toilet,TRUE,parsed
ChIJBTqvMrvOBZERKOlujH1mxM8,Parking,Free parking lot,TRUE,parsed
ChIJ__8gaBnJBZERMs5FSMPbsFg,Amenities,Toilet,TRUE,parsed
ChIJ3ca_7GfOBZER0kYN24RJ7KY,Amenities,Toilet,TRUE,parsed
ChIJ3ca_7GfOBZER0kYN24RJ7KY,Payments,Debit cards,TRUE,parsed
ChIJ3ca_7GfOBZER0kYN24RJ7KY,Payments,NFC mobile payments,TRUE,parsed
ChIJ3ca_7GfOBZER0kYN24RJ7KY,Payments,Credit cards,TRUE,parsed
ChIJ4d2EXxbRBZER_xbi4ogLMxU,Service options,On-site services,TRUE,parsed
ChIJ4d2EXxbRBZER_xbi4ogLMxU,Service options,Online classes,FALSE,parsed
