place_id,rating,reviews,reviews_link,location_link,location_reviews_link,total_reviews,avg_rating,trust_level,review_health_status,review_growth_tip,review_kudos,review_response_needed
ChIJv_9GrX3JBZERpdIfG8ujNTI,5,18,https://search.google.com/local/reviews?placeid=ChIJv_9GrX3JBZERpdIfG8ujNTI,"https://www.google.com/maps/place/Nagare+Jiu+Jitsu/@-12.101046199999999,-77.0311349,14z/data=!4m8!1m2!2m1!1sNagare+Jiu+Jitsu!3m4!1s0x9105c97dad46ffbf:0x3235a3cb1b1fd2a5!8m2!3d-12.101046199999999!4d-77.0311349","https://www.google.com/maps/place/Nagare+Jiu+Jitsu/@-12.101046199999999,-77.0311349,13.99z/data=!4m16!1m7!3m6!1s0x9105c97dad46ffbf:0x3235a3cb1b1fd2a5!2sNagare+Jiu+Jitsu!8m2!3d-12.101046199999999!4d-77.0311349!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c97dad46ffbf:0x3235a3cb1b1fd2a5!8m2!3d-12.101046199999999!4d-77.0311349!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",18,5,Emerging Trust,Well Reviewed,NA,Good engagement — your presence is growing,NA
ChIJZxWvr-HIBZERPwGb5wPFqag,4.9,40,https://search.google.com/local/reviews?placeid=ChIJZxWvr-HIBZERPwGb5wPFqag,"https://www.google.com/maps/place/Nippi+Judo+Club+Peru/@-12.067520499999999,-77.0540814,14z/data=!4m8!1m2!2m1!1sNippi+Judo+Club+Peru!3m4!1s0x9105c8e1afaf1567:0xa8a9c503e79b013f!8m2!3d-12.067520499999999!4d-77.0540814","https://www.google.com/maps/place/Nippi+Judo+Club+Peru/@-12.067520499999999,-77.0540814,13.99z/data=!4m16!1m7!3m6!1s0x9105c8e1afaf1567:0xa8a9c503e79b013f!2sNippi+Judo+Club+Peru!8m2!3d-12.067520499999999!4d-77.0540814!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c8e1afaf1567:0xa8a9c503e79b013f!8m2!3d-12.067520499999999!4d-77.0540814!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",40,4.9,Consistent Trust,Well Reviewed,NA,Strong community feedback — keep it up!,NA
ChIJ3cBfgAbJBZERjo1i2MqHYMk,NA,NA,https://search.google.com/local/reviews?placeid=ChIJ3cBfgAbJBZERjo1i2MqHYMk,"https://www.google.com/maps/place/NKO+Training+Center+I/@-12.085322,-77.0882268,14z/data=!4m8!1m2!2m1!1sNKO+Training+Center+I!3m4!1s0x9105c906805fc0dd:0xc96087cad8628d8e!8m2!3d-12.085322!4d-77.0882268","https://www.google.com/maps/place/NKO+Training+Center+I/@-12.085322,-77.0882268,13.99z/data=!4m16!1m7!3m6!1s0x9105c906805fc0dd:0xc96087cad8628d8e!2sNKO+Training+Center+I!8m2!3d-12.085322!4d-77.0882268!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c906805fc0dd:0xc96087cad8628d8e!8m2!3d-12.085322!4d-77.0882268!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",NA,NA,NA,No Reviews Yet,Start asking your students to leave a review,NA,NA
ChIJP6z8pTTJBZERkq2_VrWh5QA,5,3,https://search.google.com/local/reviews?placeid=ChIJP6z8pTTJBZERkq2_VrWh5QA,"https://www.google.com/maps/place/NS+BROTHERHOOD+LINCE/@-12.083615499999999,-77.03285559999999,14z/data=!4m8!1m2!2m1!1sNS+BROTHERHOOD+LINCE!3m4!1s0x9105c934a5fcac3f:0xe5a1b556bfad92!8m2!3d-12.083615499999999!4d-77.03285559999999","https://www.google.com/maps/place/NS+BROTHERHOOD+LINCE/@-12.083615499999999,-77.03285559999999,13.99z/data=!4m16!1m7!3m6!1s0x9105c934a5fcac3f:0xe5a1b556bfad92!2sNS+BROTHERHOOD+LINCE!8m2!3d-12.083615499999999!4d-77.03285559999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c934a5fcac3f:0xe5a1b556bfad92!8m2!3d-12.083615499999999!4d-77.03285559999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",3,5,Limited Trust,Needs More Reviews,Encourage more students to leave reviews,NA,NA
ChIJl-OE-4bIBZERA407nV0og0Y,5,107,https://search.google.com/local/reviews?placeid=ChIJl-OE-4bIBZERA407nV0og0Y,"https://www.google.com/maps/place/NS+BROTHERHOOD+PER%C3%9A/@-12.077954799999999,-76.99802679999999,14z/data=!4m8!1m2!2m1!1sNS+BROTHERHOOD+PER%C3%9A!3m4!1s0x9105c886fb84e397:0x4683285d9d3b8d03!8m2!3d-12.077954799999999!4d-76.99802679999999","https://www.google.com/maps/place/NS+BROTHERHOOD+PER%C3%9A/@-12.077954799999999,-76.99802679999999,13.99z/data=!4m16!1m7!3m6!1s0x9105c886fb84e397:0x4683285d9d3b8d03!2sNS+BROTHERHOOD+PER%C3%9A!8m2!3d-12.077954799999999!4d-76.99802679999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c886fb84e397:0x4683285d9d3b8d03!8m2!3d-12.077954799999999!4d-76.99802679999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",107,5,Consistent Trust,Well Reviewed,NA,Excellent review reputation — your community shows up!,NA
ChIJG1UHBFrJBZERLbEeqYaaKuY,5,6,https://search.google.com/local/reviews?placeid=ChIJG1UHBFrJBZERLbEeqYaaKuY,"https://www.google.com/maps/place/OSAE+Jiu+Jitsu/@-12.085409199999999,-77.03287929999999,14z/data=!4m8!1m2!2m1!1sOSAE+Jiu+Jitsu!3m4!1s0x9105c95a0407551b:0xe62a9a86a91eb12d!8m2!3d-12.085409199999999!4d-77.03287929999999","https://www.google.com/maps/place/OSAE+Jiu+Jitsu/@-12.085409199999999,-77.03287929999999,13.99z/data=!4m16!1m7!3m6!1s0x9105c95a0407551b:0xe62a9a86a91eb12d!2sOSAE+Jiu+Jitsu!8m2!3d-12.085409199999999!4d-77.03287929999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c95a0407551b:0xe62a9a86a91eb12d!8m2!3d-12.085409199999999!4d-77.03287929999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",6,5,Limited Trust,Needs More Reviews,Encourage more students to leave reviews,NA,NA
ChIJn7sYPwDJBZER8XVYDRxEe8E,5,3,https://search.google.com/local/reviews?placeid=ChIJn7sYPwDJBZER8XVYDRxEe8E,"https://www.google.com/maps/place/Parabellum/@-12.1186171,-77.0360493,14z/data=!4m8!1m2!2m1!1sParabellum!3m4!1s0x9105c9003f18bb9f:0xc17b441c0d5875f1!8m2!3d-12.1186171!4d-77.0360493","https://www.google.com/maps/place/Parabellum/@-12.1186171,-77.0360493,13.99z/data=!4m16!1m7!3m6!1s0x9105c9003f18bb9f:0xc17b441c0d5875f1!2sParabellum!8m2!3d-12.1186171!4d-77.0360493!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c9003f18bb9f:0xc17b441c0d5875f1!8m2!3d-12.1186171!4d-77.0360493!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",3,5,Limited Trust,Needs More Reviews,Encourage more students to leave reviews,NA,NA
ChIJkwetawDPBZERe4-TTmC1ho0,NA,NA,https://search.google.com/local/reviews?placeid=ChIJkwetawDPBZERe4-TTmC1ho0,"https://www.google.com/maps/place/Peru+Combat+Warriors/@-11.963028999999999,-77.0795843,14z/data=!4m8!1m2!2m1!1sPeru+Combat+Warriors!3m4!1s0x9105cf006bad0793:0x8d86b5604e938f7b!8m2!3d-11.963028999999999!4d-77.0795843","https://www.google.com/maps/place/Peru+Combat+Warriors/@-11.963028999999999,-77.0795843,13.99z/data=!4m16!1m7!3m6!1s0x9105cf006bad0793:0x8d86b5604e938f7b!2sPeru+Combat+Warriors!8m2!3d-11.963028999999999!4d-77.0795843!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105cf006bad0793:0x8d86b5604e938f7b!8m2!3d-11.963028999999999!4d-77.0795843!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",NA,NA,NA,No Reviews Yet,Start asking your students to leave a review,NA,NA
ChIJERtB_gzJBZERgcXx1-xaPVE,4.6,86,https://search.google.com/local/reviews?placeid=ChIJERtB_gzJBZERgcXx1-xaPVE,"https://www.google.com/maps/place/Peru+Fight+Academy/@-12.0793241,-77.0770126,14z/data=!4m8!1m2!2m1!1sPeru+Fight+Academy!3m4!1s0x9105c90cfe411b11:0x513d5aecd7f1c581!8m2!3d-12.0793241!4d-77.0770126","https://www.google.com/maps/place/Peru+Fight+Academy/@-12.0793241,-77.0770126,13.99z/data=!4m16!1m7!3m6!1s0x9105c90cfe411b11:0x513d5aecd7f1c581!2sPeru+Fight+Academy!8m2!3d-12.0793241!4d-77.0770126!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c90cfe411b11:0x513d5aecd7f1c581!8m2!3d-12.0793241!4d-77.0770126!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",86,4.6,Consistent Trust,Well Reviewed,NA,Excellent review reputation — your community shows up!,NA
ChIJ93hXYyfHBZERcjGFyxcuVdE,NA,NA,https://search.google.com/local/reviews?placeid=ChIJ93hXYyfHBZERcjGFyxcuVdE,"https://www.google.com/maps/place/Peru+Fight+Academy+San+Borja/@-12.0892716,-77.00314279999999,14z/data=!4m8!1m2!2m1!1sPeru+Fight+Academy+San+Borja!3m4!1s0x9105c727635778f7:0xd1552e17cb853172!8m2!3d-12.0892716!4d-77.00314279999999","https://www.google.com/maps/place/Peru+Fight+Academy+San+Borja/@-12.0892716,-77.00314279999999,13.99z/data=!4m16!1m7!3m6!1s0x9105c727635778f7:0xd1552e17cb853172!2sPeru+Fight+Academy+San+Borja!8m2!3d-12.0892716!4d-77.00314279999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x9105c727635778f7:0xd1552e17cb853172!8m2!3d-12.0892716!4d-77.00314279999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",NA,NA,NA,No Reviews Yet,Start asking your students to leave a review,NA,NA
