place_id,Friday_open,Monday_open,Saturday_open,Sunday_open,Thursday_open,Tuesday_open,Wednesday_open,Friday_close,Monday_close,Saturday_close,Sunday_close,Thursday_close,Tuesday_close,Wednesday_close,Friday_closed,Monday_closed,Saturday_closed,Sunday_closed,Thursday_closed,Tuesday_closed,Wednesday_closed,Friday_pattern_flag,Monday_pattern_flag,Saturday_pattern_flag,Sunday_pattern_flag,Thursday_pattern_flag,Tuesday_pattern_flag,Wednesday_pattern_flag
ChIJe3XTfQbJBZERP7gk6MKAVFQ,04:00,04:00,11:00,NA,04:00,04:00,04:00,20:30,22:00,13:00,NA,22:00,22:30,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJe58qHQDPBZERcOlRkfXry8o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJe8lhM-zJBZERvsFzVLnwZVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJeUrtvNnJBZERNyjbCLzob6k,02:00,02:00,07:00,NA,02:00,02:00,02:00,22:00,22:00,20:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJeYNwkwnIBZER9ksmHYGbEuw,06:00,06:00,10:00,NA,06:00,06:00,06:00,20:00,20:00,13:00,NA,20:00,20:00,20:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJeZn4EQDHBZERK-YhvBUA_nI,06:00,06:00,10:00,NA,06:00,06:00,06:00,22:00,22:00,14:30,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJeaNN3PW3BZER1JN21LAn4G4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJf-tGXyvFBZERcKfPb9ruO40,06:00,06:00,NA,NA,06:00,06:00,06:00,21:00,21:00,NA,NA,21:00,21:00,21:00,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJf9J7Su7QBZER5OjNsKwQDeI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJfR7pXMrRBZERFdTSKfVDIKg,09:00,09:00,09:00,NA,09:00,09:00,09:00,21:00,21:00,21:00,NA,21:00,21:00,21:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJfWAsKx_IBZERt1ZX_T0dxT4,05:00,05:00,08:00,NA,05:00,05:00,05:00,21:00,21:00,14:00,NA,21:00,21:00,21:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJgTAHm9HHBZERqH8Sfg4j4WQ,08:00,08:00,08:00,NA,08:00,08:00,08:00,22:00,22:00,13:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJgfP7ckzRBZERYV0OABgUnqA,09:00,09:00,09:00,NA,09:00,09:00,09:00,22:00,22:00,22:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJh4tNXAG3BZERzNdN3Wepyjo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJi6uz63eYBZERB8CC3eo9-xM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJiUD0uIzJBZERMtyqr78xuGk,07:00,07:00,09:30,NA,03:00,03:00,07:00,22:00,22:00,14:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJieoTqpHFBZEReDjwbQNIQmc,07:00,07:00,07:00,07:00,07:00,07:00,07:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJj-vVKgrPBZERqLodth-aueI,06:00,06:00,06:00,NA,06:00,06:00,06:00,22:30,22:30,22:30,NA,22:30,22:30,22:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJj0IXpKXFBZERJoi_5KYTcYw,NA,NA,03:00,NA,03:00,03:00,NA,NA,NA,19:00,NA,19:00,19:00,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,closed,closed,standard,closed,standard,standard,closed
ChIJj4ZR05TLBZERZz0HklRYUlQ,05:30,05:30,09:30,NA,05:30,05:30,05:30,21:30,21:30,11:00,NA,21:30,21:30,21:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJjY4SOaZ1BZERRHxcdzy-H4Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
