place_id,Amenities_Toilet,Accessibility_Wheelchair-accessible car park,Accessibility_Wheelchair-accessible entrance,Children_Family discount,Children_Good for kids,Service options_On-site services,Service options_Online classes,Planning_Appointment required,Payments_Credit cards,Payments_Debit cards,Children_Discounts for kids,Parking_Free of charge street parking,Payments_NFC mobile payments,Accessibility_Wheelchair-accessible seating,Amenities_Swimming pool,Planning_Membership required,Amenities_Gender-neutral toilets,Service options_Outdoor services,Crowd_LGBTQ+ friendly,Crowd_Transgender safe space,Parking_Free parking lot,Other_LGBTQ+ friendly,Accessibility_Assistive hearing loop,Accessibility_Wheelchair-accessible toilet,Atmosphere_Shower,Parking_On-site parking,Parking_Paid multi-storey car park,From the business_Identifies as women-owned,Parking_Paid street parking,Other_Identifies as women-owned,Amenities_Child care,Parking_Free multi-storey car park,Offerings_Sauna,Amenities_Restaurant,Parking_Paid parking lot,about_json_error_or_empty
ChIJBWk2LFfHBZEReyxW8Pzqrnc,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJVxAkJBXHBZERuJ5Z1IzrEPc,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJm6XxcgS5BZER8rNsS3pqcIk,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJDYJJFte9BZERJbEyFnQ5e9I,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJoX5d-zW3BZERvLanKo27QSY,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJBwYcZrjFBZERCoxUbCbvnRw,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJR5qRsOrIBZERjnI90IPBAfk,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJeUrtvNnJBZERNyjbCLzob6k,TRUE,TRUE,TRUE,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJY5uxEwDHBZERzW87SSNLl4A,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJQ2RMgsTHBZER5qEcaRKPudY,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ2wEqSgLJBZER6Nr2SfsZm_E,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJH2ACIMDPBZERfhs_s1bpIRM,TRUE,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJ65L-5m7FBZERFuWGrOis81s,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ChIJOfOF4ui9BZERNEHtLiFSW_U,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
