place_id,name,district,lat,lon,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_classes,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,gi_class,no_gi_class,whatsapp_number,instagram,facebook,about,overall_rating,num_reviews,reviews_link,photo_link,logo_link,has_adult_classes
ChIJvxVDJhq5BZERQHmnynp95sg,Art Choke,Santiago de Surco,-12.1288515,-76.9978008,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51939252711,https://www.instagram.com/artchokejiujitsu/,https://www.facebook.com/p/Art-Choke-100064238283914/,Ven y entrena con nosotros.,5,56,https://search.google.com/local/reviews?placeid=ChIJvxVDJhq5BZERQHmnynp95sg,https://lh3.googleusercontent.com/p/AF1QipPBNepmw6B78nq8pquvfIfj87qCMnKL00xy5PMx=w800-h500-k-no,https://lh5.googleusercontent.com/-KLc2pgBU90k/AAAAAAAAAAI/AAAAAAAAAAA/O1r1AwltatI/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJP096eO_RBZERoalEPIOyesI,Arte Suave,Carabayllo,-11.8757812,-77.0321212,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,51994011849,https://www.instagram.com/dojo.artesuave,https://www.facebook.com/dojo.artesuave/?ref=_xav_ig_profile_page_web#,Jiu Jitsu. Entrenamiento Funcional.,5,19,https://search.google.com/local/reviews?placeid=ChIJP096eO_RBZERoalEPIOyesI,,https://lh5.googleusercontent.com/-fU-LbhhqplY/AAAAAAAAAAI/AAAAAAAAAAA/NSrZXf0WGik/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,Artem Fight Studio,Miraflores,-12.1228996,-77.0259863,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,51978644008,https://www.instagram.com/artemfightstudio/,https://www.facebook.com/profile.php?id=61573517619645#,"En Artem, transformamos vidas con las mejores artes marciales en Lima. Ofrecemos Jiujitsu, Lucha Olímpica, Judo, Muay Thai y Taekwondo, ideales para mejorar tu condición física, aprender defensa personal y desarrollar valores como la disciplina y la confianza",5,4,https://search.google.com/local/reviews?placeid=ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,,,TRUE
ChIJlbGtU7_LBZERmVRwOcVZAmg,B13 academy,San Miguel,-12.0781831,-77.1058616,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51937739028,https://www.instagram.com/b13.boxing/,https://www.facebook.com/JoseFarias2511/,Academia de Boxeo y jiu jitsu. Mejora tu rendimiento fisico. Quema calorias. Gana fuerza y resistencia.,5,3,https://search.google.com/local/reviews?placeid=ChIJlbGtU7_LBZERmVRwOcVZAmg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrYeru810Uh0_7fUXylpagXkxHWdffq8TlhskQQ_j9d_X5yu_GN_TImpc4orbLsjJ8_b0JYPEXdjOZony6eVRgwwO6Ra-r3rAw4q9LgVmeR1FzeWQIzzhUjXFwUzu308IXHsXBH=w800-h500-k-no,,TRUE
ChIJf9J7Su7QBZER5OjNsKwQDeI,Berserker Escuela,Carabayllo,-11.8944995,-77.0418412,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51936017229,https://www.instagram.com/berserker_mma/,https://www.facebook.com/kankudaiescueladeartesmarciales?locale=es_LA,"Escuela de Artes Marciales y centro dedefensa personal, entrenamiento de competencia y de aprendizaje para.todas las edades.",,,https://search.google.com/local/reviews?placeid=ChIJf9J7Su7QBZER5OjNsKwQDeI,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yQudlpjy-Ldrz0PhnsQ8wg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=147.6795&pitch=0&thumbfov=100,,TRUE
ChIJRWJggGTJBZERQY3h-qj4SOc,Black Dragons,San Miguel,-12.0747653,-77.0964352,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,51998233479,https://www.instagram.com/blackdragons_peru/?hl=en,https://www.facebook.com/BlackDragonsPeru,Organización dedicada a la enseñanza de artes marciales y deportes de contacto.,4.2,17,https://search.google.com/local/reviews?placeid=ChIJRWJggGTJBZERQY3h-qj4SOc,https://lh3.googleusercontent.com/p/AF1QipMfpGTlJF7pYR56DqSGHinsPPy2j8paVcEDfrub=w800-h500-k-no,https://lh3.googleusercontent.com/-Cokq0IBoQCE/AAAAAAAAAAI/AAAAAAAAAAA/UgU73kFFEJE/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJ7SkTjy_vBZERaGwB_oSVhn8,Black House Jiu Jitsu Chosica,Chosica,-11.9428002,-76.7055874,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,51954678514,https://www.instagram.com/black_house_jiu_jitsu_/?hl=en,https://www.facebook.com/profile.php?id=61550537616577&rdid=FecTHzFbCGamhHiK&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1YdeZXMZJL#,Academia de jiu-jitsu y luta livre.,4.9,7,https://search.google.com/local/reviews?placeid=ChIJ7SkTjy_vBZERaGwB_oSVhn8,,,TRUE
ChIJBWk2LFfHBZEReyxW8Pzqrnc,Team Capone BJJ & MMA Sede La Molina,La Molina,-12.0926941,-76.9511287,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,https://www.instagram.com/bjjteamcapone,https://www.facebook.com/TeamCaponeBJJMMA/,"Bienvenidos a Team Capone BJJ & MMA, destacada escuela de enseñanza del jiu-jitsu brasileño y las artes marciales mixtas.",4.5,16,https://search.google.com/local/reviews?placeid=ChIJBWk2LFfHBZEReyxW8Pzqrnc,https://lh3.googleusercontent.com/p/AF1QipPK5VeYp9Pc28Xn3t-N_dGPZBHjox2eg3Qzbq8=w800-h500-k-no,https://lh3.googleusercontent.com/-GeWAjl8wuLE/AAAAAAAAAAI/AAAAAAAAAAA/S1iGjTfNXCc/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJeZn4EQDHBZERK-YhvBUA_nI,Team Capone BJJ & MMA Sede Salamanca,Ate,-12.0799009,-76.9804944,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,https://www.instagram.com/caponeteam.salamanca,,"Bienvenidos a Team Capone BJJ & MMA, destacada escuela de enseñanza del jiu-jitsu brasileño y las artes marciales mixtas.",5,12,https://search.google.com/local/reviews?placeid=ChIJeZn4EQDHBZERK-YhvBUA_nI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noj2fjaOFE81W9VIowCsLYNRotwf7TrMsQijzbeX8BjU_2vY6GwDREv2fd37wBf9a1Ss_NN2uUemfREzeTu-_onFnguzOAFq2v4e-Y-Wqzyy6j61lreLhAi-UG4hHBLvmXnpxv8pxgBO9LT=w800-h500-k-no,,TRUE
ChIJm6XxcgS5BZER8rNsS3pqcIk,Casa Calavera Sede Chorrillos,Chorrillos,-12.17575,-76.9991631,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51960136107,https://www.instagram.com/casacalavera1/?hl=en,https://www.facebook.com/casa.calavera.44503/,Escuela de Artes Marciales. Defensa Personal.Entrenamientos grupales y/o personalizados,4.6,13,https://search.google.com/local/reviews?placeid=ChIJm6XxcgS5BZER8rNsS3pqcIk,https://lh3.googleusercontent.com/p/AF1QipMF0pKTClwpZIkH-Po3BYeyZAiyCa6OC9Q5oE7T=w800-h500-k-no,https://lh5.googleusercontent.com/-QnsuiOG83wY/AAAAAAAAAAI/AAAAAAAAAAA/ACKOTOogZxc/s44-p-k-no-ns-nd/photo.jpg,TRUE
ChIJDYJJFte9BZERJbEyFnQ5e9I,Casa Calavera Sede Pachacamac,Pachacamac,-12.2271497,-76.9039419,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,51946187709,https://www.instagram.com/casacalavera1/?hl=en,https://www.facebook.com/casa.calavera.44503/,Escuela de Artes Marciales. Defensa Personal.Entrenamientos grupales y/o personalizados,5,1,https://search.google.com/local/reviews?placeid=ChIJDYJJFte9BZERJbEyFnQ5e9I,https://lh3.googleusercontent.com/p/AF1QipPigVTeIpSAEjxCM8Ze_Ki6DfzN226R9y3ovWQr=w800-h500-k-no,https://lh4.googleusercontent.com/-pRn9t3feNNw/AAAAAAAAAAI/AAAAAAAAAAA/jiWypVQ5qcM/s44-p-k-no-ns-nd/photo.jpg,TRUE
